#/Date,Time,Latitude,Longitude,"Max Winds
(kt)","SS
HWS","RMW
nm","Central
Pressure
(mb)","OCI
(mb)","Size
(nm)","States
Affected","Storm
Names",Damage,Death
3-8/13/2004,1945Z,26.6N,82.2W,130,4,---,941,----,---,BFL4,Charley,,
3-8/13/2004,2045Z,26.9N,82.1W,125,4,---,942,----,---,"BFL4,CFL1,DFL1",Charley,,
3-8/14/2004,1400Z,33.0N,79.4W,70,1,---,992,----,---,SC1,Charley,,
3-8/14/2004,1600Z,33.8N,78.7W,65,1,---,997,----,---,SC1,Charley,,
6-9/5/2004,0430Z,27.2N,80.2W,90,2,---,960,----,---,"CFL2,BFL1",Frances,,
7-8/29/2004,1400Z,33.0N,79.6W,65,1,---,985,----,---,SC1,Gaston,,
9-9/16/2004,0650Z,30.2N,87.9W,105,3,---,946,----,---,"AL3,AFL3",Ivan,,
10-9/26/2004,0400Z,27.2N,80.2W,105,3,---,950,----,---,"CFL3,BFL1,AFL1",Jeanne,,
3-7/6/2005,0300Z,29.2N,90.1W,65,1,---,991,----,---,LA1,Cindy,,
4-7/10/2005,1930Z,30.4N,87.1W,105,3,---,946,----,---,"AFL3,IAL1",Dennis,,
11-8/25/2005,2230Z,26.0N,80.1W,70,1,---,984,----,---,"CFL1,BFL1",Katrina,,
11-8/29/2005,1110Z,29.3N,89.6W,110,3,---,920,----,---,LA3,Katrina,,
11-8/29/2005,1445Z,30.2N,89.6W,105,3,---,928,----,---,"LA3,MS3,AL1",Katrina,,
15-9/15/2005*,0600Z,34.5N,76.3W,65,1,---,982,----,---,NC1,Ophelia,,
17-9/24/2005,0740Z,29.7N,93.7W,100,3,---,937,----,---,"LA3,CTX2",Rita,,
21-10/24/2005,1030Z,25.9N,81.7W,105,3,---,950,----,---,"BFL3,CFL2",Wilma,,
8-9/13/2007,0700Z,29.6N,94.3W,80,1,---,985,----,---,"CTX1,LA1",Humberto,,
4-7/23/2008,1820Z,26.4N,97.2W,75,1,---,967,----,---,ATX1,Dolly,,
4-7/23/2008,2000Z,26.4N,97.4W,70,1,---,967,----,---,ATX1,Dolly,,
7-9/1/2008,1500Z,29.2N,90.7W,90,2,---,954,----,---,LA2,Gustav,,
9-9/13/2008,0700Z,29.3N,94.7W,95,2,---,950,----,---,"CTX2,LA1",Ike,,
9-8/27/2011,1200Z,34.7N,76.6W,75,1,---,952,----,---,NC1,Irene,,
9-8/29/2012,0000Z,28.9N,89.4W,70,1,---,967,----,---,LA1,Issac,,
9-8/29/2012,0800Z,29.2N,90.2W,70,1,---,966,----,---,LA1,Isaac,,
18-10/29/2012%,2035Z,38.7N,73.9W,65,1,---,942,----,---,NY1,Sandy,,
