Year;Country Code;Country Name;Air transport, freight (million ton-km);Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP growth (annual %);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Mobile cellular subscriptions (per 100 people);Population density (people per sq. km of land area);Adjusted savings: education expenditure (% of GNI);Rural population (% of total population)
1978;HND;Honduras;3.400000095;0.434921539;952.2;57.68;5.966211808;1591.755569;4120000.005;58.08;0;30.90620252;3;66.248
1979;HND;Honduras;3.299999952;0.418879992;1000.2;56.07;5.609926691;1629.885358;4729999.87;58.851;0;31.87643221;2.9;65.691
1980;HND;Honduras;3.799999952;0.403449548;1131.7;62.25;0.599354052;1589.895439;6079999.998;59.632;0;32.87406381;2.9;65.13
1981;HND;Honduras;3;0.390464442;1377;65.12;-1.222035023;1522.999418;6680000.245;60.427;0;33.89864152;3.1;64.565
1982;HND;Honduras;2.700000048;0.377431827;1282.3;62.5;-2.074660896;1446.50704;10469999.85;61.236;0;34.95075521;3.8;63.996
1983;HND;Honduras;1.899999976;0.363900207;1442.3;57.41;0.905693885;1415.911963;26559999.92;62.05;0;36.02935919;3.9628881;63.423
1984;HND;Honduras;2.200000048;0.352358443;1343.8;56.81;6.32729576;1460.738369;26340000.21;62.859;0;37.13343462;3.9628881;62.845
1985;HND;Honduras;2;0.33986108;1433;58.74;5.626234849;1497.40428;24839999.73;63.643;0;38.26223076;4.1;62.265
1986;HND;Honduras;2.200000048;0.329004875;1363;57.89;5.330774418;1531.055128;27110000.34;64.382;0;39.41611404;4.6;61.681
1987;HND;Honduras;2.5;0.317246171;1563.2;63.14;6.63835598;1585.264585;29849999.81;65.062;0;40.59535258;4.7;61.093
1988;HND;Honduras;2.299999952;0.305963792;1289.4;64.18;1.746033806;1566.452533;35549999.48;65.679;0;41.80019662;4.3938531;60.519
1989;HND;Honduras;2.799999952;0.300330114;1424.6;65.08;2.72784893;1563.167871;22130000.11;66.229;0;43.03067298;4.1;60.031
1990;HND;Honduras;4.300000191;0.295037458;1468.5;67.09;2.791748949;1561.216284;23020000.22;66.723;0;44.28727321;4.0425164;59.54
1991;HND;Honduras;3.099999905;0.292629866;1316.9;67.71;-3.319308423;1466.975501;13040000.02;67.175;0;45.5678881;4;59.047
1992;HND;Honduras;1.799999952;0.288864254;1328.5;68.29;6.073687877;1512.731584;13269999.79;67.605;0;46.87351863;3.6916892;58.552
1993;HND;Honduras;17.5;0.311989518;1328.6;69.32;6.495718208;1566.277605;9979999.9;68.028;0;48.21174368;3.6916892;58.057
1994;HND;Honduras;;0.297353018;1310.8;72.74;0.211903499;1525.880659;9579999.783;68.45;0;49.59299312;3.5;57.559
1995;HND;Honduras;;0.280258553;1540.4;72.95;6.189304558;1574.895823;11280000.07;68.871;0;51.0234516;3.8;57.059
1996;HND;Honduras;;0.27234928;1579;80.61;1.870776294;1559.081446;9230000.097;69.284;0.039337449;52.50521941;3.5462322;56.558
1997;HND;Honduras;;0.251418405;1570;77.82;4.598083062;1584.673368;10109999.84;69.676;0.238632456;54.03252301;3.5462322;56.056
1998;HND;Honduras;;0.24435704;1089.9;77.02;3.590233034;1595.46161;12800000.16;70.041;0.560992321;55.59394048;3.5462322;55.553
1999;HND;Honduras;;0.229477153;1170.2;65.68;-0.735651085;1539.96832;13170000.02;70.378;1.228484367;57.17357226;3.73181672;55.048
2000;HND;Honduras;;0.162445591;1368.1;71.67;7.291288159;1607.679685;12659999.88;70.689;2.361712487;58.75868263;3.91740124;54.542
2001;HND;Honduras;;0.158177417;1447.1;73.92;2.723193273;1608.068654;14610000.13;70.976;3.519432718;60.34419519;4.10298576;54.036
2002;HND;Honduras;;0.154128901;1341.8;81.55;3.754337861;1625.737607;19629999.76;71.249;4.712014911;61.92926088;4.28857028;53.39
2003;HND;Honduras;;0.150288778;1533.4;91.13;4.547038052;1657.313458;15209999.62;71.511;5.338375606;63.5116543;4.4741548;52.733
2004;HND;Honduras;;0.144172288;1388.1;96.91;6.232302961;1717.902237;9370000.006;71.77;9.710360619;65.09029404;4.65973932;52.073
2005;HND;Honduras;;0.140769823;1506.5;101.48;6.050599222;1778.850071;8680000.096;72.026;17.18011231;66.66355349;4.84532384;51.415
2006;HND;Honduras;;0.137537204;1522.3;101.62;6.567243552;1852.139541;7949999.974;72.285;29.35117283;68.23038699;5.03090836;50.755
2007;HND;Honduras;;0.134468538;1682.7;106.61;6.188327167;1922.874655;15239999.84;72.544;53.59319144;69.78745196;5.21649288;50.095
2008;HND;Honduras;;0.127553657;1680.5;110.15;4.23160011;1960.939225;13310000.06;72.803;77.8191457;71.32858164;5.4020774;49.434
2009;HND;Honduras;;0.125141474;1727.2;104.16;-2.43162788;1873.394109;7729999.93;73.061;102.9442599;72.84632228;5.58766192;48.775
2010;HND;Honduras;2.248762813;0.122633445;1660.3;108.38;3.731140344;1904.346465;3900000.065;73.317;114.2783923;74.3361337;5.77324644;48.115
2011;HND;Honduras;1.830218417;0.120273502;1711.5;112.77;3.835690662;1939.338627;4260000.035;73.569;95.06593287;75.79471803;5.95883096;47.457
2012;HND;Honduras;2.046473554;0.118046115;1646.9;118.27;4.128687749;1982.009738;4144264.482;73.814;85.29449786;77.22487264;6.14441548;46.798
2013;HND;Honduras;1.97274;0.115928575;1667.9;116.67;2.791559757;2000.792449;7269415.737;74.051;88.27887096;78.63545446;6.33;46.142
2014;HND;Honduras;0.851628;0.113895356;1724.8;118.44;3.058080562;2025.814195;3748885.602;74.278;86.26001037;80.03922603;6.33;45.486
2015;HND;Honduras;0.50237232;0.111929047;1742;118.79;3.840079971;2067.290034;3603350.166;74.495;88.31847018;81.44531236;6.33;44.835
2016;HND;Honduras;0.399566257;0.110022927;1759.1;119.57;3.892972197;2111.193164;9320690.497;74.701;84.48900013;82.85633211;6.33;44.187
2017;HND;Honduras;0.229947;0.113020747;1775.4;118.4780871;4.788026945;2175.155839;8448986.828;74.898;87.32089987;84.27038162;6.33;43.543
2018;HND;Honduras;0.449870108;0.111522196;1748.953906;119.0157109;3.745584746;2219.319665;7281022.385;74.58558193;79.15031642;85.68703191;6.33;42.904
2019;HND;Honduras;;0.110653554;1762.53371;119.3279083;4.172920609;2141.111308;0;74.7424271;85.33797714;83.50111241;6.33;43.89516132
1960;HTI;Haiti;;0.228313746;1031;63.29;-2.93198029;993.2466563;0;41.762;0;143.0313498;1.2844422;84.407
1961;HTI;Haiti;;0.228313746;1031;63.29;-2.93198029;945.5892841;0;42.182;0;143.0313498;1.2844422;84.025
1962;HTI;Haiti;;0.223926664;1043;64.71;7.887575894;1000.570576;0;42.591;0;145.8335631;1.2844422;83.635
1963;HTI;Haiti;;0.219632457;1055.2;66.96;-1.892792551;962.8072513;0;43;0;148.6848694;1.2844422;83.238
1964;HTI;Haiti;;0.215432791;1056.6;68.34;-1.64735737;928.8394955;0;43.414;0;151.5833454;1.2844422;82.832
1965;HTI;Haiti;;0.211330509;1071.7;70.29;2.161797861;930.8497596;0;43.837;0;154.5258345;1.2844422;82.42
1966;HTI;Haiti;;0.207310315;1075.8;71.74;-0.5757868;907.8842162;0;44.267;0;157.5224238;1.2844422;81.999
1967;HTI;Haiti;;0.203375904;1091.9;74.23;-2.117686202;871.7928032;0;44.7;0;160.569775;1.2844422;81.571
1968;HTI;Haiti;;0.199564816;1049.7;75.42;3.181617322;882.6735005;910000.0262;45.134;0;163.6361756;1.2844422;81.134
1969;HTI;Haiti;;0.195921822;1112.5;77.64;3.811943286;899.5933675;579999.9796;45.573;0;166.6788462;1.2844422;80.69
1970;HTI;Haiti;;0.192462732;1097.3;79.92;0.651153708;889.4649457;1440000.035;46.027;0;169.6745283;1.2844422;80.238
1971;HTI;Haiti;;0.189187633;1117;82.21;6.480380499;930.988954;1590000.003;46.508;0;172.6118287;1.1199429;79.778
1972;HTI;Haiti;;0.158765204;1148.7;85.17;0.977107761;924.5093912;2040000.036;47.019;0;175.520029;1.1199429;79.677
1973;HTI;Haiti;;0.156141198;1066.4;86.21;4.75532209;952.4662727;2780000.001;47.559;0;178.4697025;1.1199429;79.65
1974;HTI;Haiti;1.799999952;0.153486113;1175.4;88.2;5.779889153;990.3855498;2209999.979;48.119;0;181.5569666;1.1199429;79.623
1975;HTI;Haiti;1.899999976;0.150748531;1117.7;89.25;1.122754491;983.6422777;5219999.969;48.683;0;184.8540276;0.9554436;79.596
1976;HTI;Haiti;1.899999976;0.148315597;1238.9;91.67;8.438835431;1046.709731;6179999.91;49.232;0;188.3756168;1.0710335;79.569
1977;HTI;Haiti;2;0.145430672;918.8;89.66;3.708146436;1064.408467;6039999.946;49.746;0;192.1124456;1.0710335;79.541
1978;HTI;Haiti;1.799999952;0.14433702;803.9;94.08;6.208863537;1107.610155;7880000.203;50.215;0;196.0819666;1.0710335;79.514
1979;HTI;Haiti;1.899999976;0.141299561;964.6;96.44;7.560421401;1166.279122;10590000.06;50.635;0;200.297061;1.0710335;79.487
1980;HTI;Haiti;1.899999976;0.138220111;1016.2;95.99;7.37468792;1224.996482;11530000.27;51.009;0;204.7595428;1.1866233;79.459
1981;HTI;Haiti;2.799999952;0.135103162;1046.7;97.4;-2.852709712;1163.214499;11609999.84;51.347;0;209.4835269;1.1478954;79.432
1982;HTI;Haiti;2.799999952;0.131974626;1039.6;99.52;-3.563745223;1095.784294;15039999.93;51.668;0;214.4494557;1.1861599;79.405
1983;HTI;Haiti;2.799999952;0.128891064;1044.3;102;0.908181461;1079.900692;9620000.125;51.987;0;219.5798984;1.1580239;78.64
1984;HTI;Haiti;5;0.125914352;1041.1;103;0.300917035;1058.135168;12180000.07;52.309;0;224.7709361;1.1511012;77.703
1985;HTI;Haiti;4.800000191;0.123081332;1009.7;103.79;0.603631295;1040.571092;11859999.9;52.637;0;229.9445936;1.1792722;76.739
1986;HTI;Haiti;4.800000191;0.120397478;991.2;102.6;-0.497504789;1012.816885;13540000.02;52.97;0;235.0704282;1.6491;75.745
1987;HTI;Haiti;4.800000191;0.117847132;969.7;101.47;-0.7936487;983.494732;15689999.88;53.302;0;240.1576197;1.9254018;74.723
1988;HTI;Haiti;4.800000191;0.115414954;957.7;98.79;0.200426838;965.1274664;16099999.76;53.628;0;245.2185414;1.8080857;73.671
1989;HTI;Haiti;3.900000095;0.11308027;972.3;98.63;-2.913424397;918.0548129;19629999.91;53.949;0;250.2813861;1.7130947;72.595
1990;HTI;Haiti;3.900000095;0.110828246;1026.7;93.36;1.038122801;909.1122388;17180000.07;54.265;0;255.36709;1.461652;71.49
1991;HTI;Haiti;3.900000095;0.108656178;987.7;92;1.880544734;908.0561947;10739999.67;54.58;0;260.4719521;1.461652;70.359
1992;HTI;Haiti;;0.106564758;976.1;89.16;-5.309932918;843.2887916;10559999.84;54.894;0;265.583926;1.461652;69.2
1993;HTI;Haiti;;0.104547985;949.2;87.49;-5.426295999;782.4359379;13969999.97;55.209;0;270.707148;1.461652;68.61
1994;HTI;Haiti;;0.105231035;923.9;86.49;-11.9506293;676.0951751;11679999.65;55.523;0;275.8461538;1.461652;68.013
1995;HTI;Haiti;;0.103299075;925.8;84.46;9.897707497;729.3719603;25710000.34;55.829;0;281.0051887;1.461652;67.41
1996;HTI;Haiti;;0.101428828;974;85.96;4.140773327;745.8213888;30470000.6;56.121;0;286.1866473;1.461652;66.8
1997;HTI;Haiti;;0.112069569;1004.1;91.02;2.704713913;752.3137212;26769999.77;56.393;0;291.3906386;1.461652;66.208
1998;HTI;Haiti;;0.110096053;913.6;89.47;2.18184035;755.1909042;17869999.95;56.648;0.122328947;296.6139332;1.461652;65.611
1999;HTI;Haiti;;0.108185339;969.4;92.56;2.710248002;762.19692;13400000.33;56.891;0.30051483;301.8525762;1.461652;65.008
2000;HTI;Haiti;;0.10633514;931.8;95.76;0.870059257;755.6798902;14000000.12;57.131;0.649825858;307.104717;1.461652;64.4
2001;HTI;Haiti;;0.104543957;826.5;92.46;-1.044374472;735.1914995;15859999.78;57.382;1.062863559;312.3664369;1.461652;62.749
2002;HTI;Haiti;;0.102808382;920.4;94.28;-0.251464388;721.1682505;15500000;57.655;1.599241503;317.6396952;1.461652;61.065
2003;HTI;Haiti;;0.101122414;920.8;95.33;0.363800265;711.9223026;14829999.85;57.959;3.595463604;322.9355588;1.461652;59.355
2004;HTI;Haiti;;0.099479644;933.8;97.3;-3.52288825;675.6840804;18159999.87;58.292;4.421317515;328.2683962;1.461652;58.321
2005;HTI;Haiti;;0.097876217;956.8;101.4;1.805011319;676.7928998;16800000.19;58.652;5.439742616;333.6461538;1.461652;57.362
2006;HTI;Haiti;;0.096310402;962.9;101.31;2.249221435;680.9446717;17190000.08;59.028;12.84138693;339.0705733;1.461652;56.396
2007;HTI;Haiti;;0.110580698;959.8;110.5;3.343278665;692.553621;17850000.14;59.408;26.32873767;344.5329463;1.461652;55.426
2008;HTI;Haiti;;0.103663682;961.1;109.46;0.843944574;687.4479644;29709999.31;59.782;33.17237819;350.021045;1.461652;54.449
2009;HTI;Haiti;;0.104748432;994.6;122.03;3.083247861;697.6889105;25330000.25;60.148;37.23191338;355.5169086;1.461652;53.472
2010;HTI;Haiti;;0.110560297;977.5;133.21;-3.12239443;665.6274195;32359999.89;60.511;40.20374454;361.0058781;1.461652;52.491
2011;HTI;Haiti;;0.10494717;980.7;141.47;5.523740015;691.8942672;23640000.07;60.879;41.58284094;366.4847605;1.461652;51.508
2012;HTI;Haiti;;0.097552125;1077;143.36;2.892240172;701.4459637;20422796.1;61.26;59.45750288;371.9495646;1.461652;50.523
2013;HTI;Haiti;;0.102877958;1059.9;152.55;4.247639994;720.7128711;19383062.59;61.658;68.84360871;377.38291;1.461652;49.54
2014;HTI;Haiti;;0.101431338;1006.8;158.18;2.776300137;730.3063521;19238141.34;62.069;64.17012252;382.7651669;1.461652;48.556
2015;HTI;Haiti;;0.100041681;1008.7;162;1.224329778;729.1196659;20588105.54;62.485;68.25273558;388.0820755;1.461652;47.573
2016;HTI;Haiti;;0.09870876;1042.7;157.13;1.452710152;729.8559997;23333668.05;62.896;60.0002583;393.3225689;1.461652;46.604
2017;HTI;Haiti;;0.10069461;1126;158.4042724;1.17328004;728.8450017;23253884.92;63.29;57.41806456;398.4893324;1.461652;45.654
2018;HTI;Haiti;;0.099760218;1037.061544;159.2097941;1.483879788;730.296713;21960660.11;62.66914027;57.52891844;403.5985486;1.461652;44.722
2019;HTI;Haiti;;0.099150263;1071.241878;158.4306227;1.350007763;729.4620629;0;62.97939762;59.91128945;395.6537433;1.461652;46.17726514
1960;IDN;Indonesia;;0.199781585;1541.7;20.13;5.740645823;690.3687744;0;46.664;0;49.73497795;1.6;85.414
1961;IDN;Indonesia;;0.199781585;1541.7;20.13;5.740645823;710.9817606;0;47.276;0;49.73497795;1.6;85.179
1962;IDN;Indonesia;;0.194555942;1553.5;21.55;1.841977702;705.1383388;0;47.877;0;51.07082641;1.6;84.942
1963;IDN;Indonesia;;0.18944318;1501.9;20.36;-2.237029986;671.248287;0;48.468;0;52.44914466;1.6;84.701
1964;IDN;Indonesia;;0.184432403;1512.8;21.9;3.52969815;676.5601101;0;49.051;0;53.87411637;1.6;84.457
1965;IDN;Indonesia;;0.179520569;1559.8;21.76;1.081589466;665.6645685;0;49.629;0;55.34815768;1.6;84.211
1966;IDN;Indonesia;;0.174714153;1514.3;22.39;2.791346825;665.9258417;0;50.208;0;56.87079495;1.6;83.961
1967;IDN;Indonesia;;0.170026949;1549.3;21.59;1.380402806;657.0063324;0;50.789;0;58.43857593;1.6;83.707
1968;IDN;Indonesia;;0.16547171;1808.5;24.87;10.91517857;709.1964147;3200000.048;51.374;0;60.04732028;1.6;83.451
1969;IDN;Indonesia;;0.161061484;1944.1;25.19;6.822298249;737.3885521;4060000.062;51.963;0;61.69155098;1.6;83.191
1970;IDN;Indonesia;14.19999981;0.156803743;2000.8;26.92;7.554634514;772.1296848;7780000.151;52.553;0;63.36668083;1.6;82.929
1971;IDN;Indonesia;17.60000038;0.152697472;2081.7;27.78;7.023997197;804.7237857;10470000.27;53.14;0;65.07070883;1.6;82.662
1972;IDN;Indonesia;19.89999962;0.148739047;2152.4;27.72;7.037643208;839.0281357;9719999.909;53.72;0;66.80244981;1.6;82.221
1973;IDN;Indonesia;27.70000076;0.144927901;2127.2;30.16;8.103975535;883.7820938;19250000.12;54.288;0;68.55914317;1.547959006;81.72
1974;IDN;Indonesia;41.29999924;0.141262656;2280.3;31.67;7.634672906;927.1985809;24099999.78;54.843;0;70.33800019;1.495918013;81.207
1975;IDN;Indonesia;42.90000153;0.137740281;2307.3;31.04;4.977300867;949.0776695;34700000.77;55.386;0;72.13672505;1.443877019;80.683
1976;IDN;Indonesia;43.59999847;0.134361506;2472.6;30.71;6.886564974;989.5523546;19909999.85;55.92;0;73.95073941;1.391836025;80.147
1977;IDN;Indonesia;52.09999847;0.131120736;2424.5;32.09;8.761325601;1050.291335;20259999.99;56.448;0;75.77850042;1.339795031;79.602
1978;IDN;Indonesia;58.90000153;0.128002976;2493;34.17;6.767069858;1094.701711;25869999.89;56.971;0;77.62423202;1.287754037;79.044
1979;IDN;Indonesia;79.80000305;0.124991455;2622.4;35.65;7.324309486;1147.239664;48980000.27;57.488;0;79.49449649;1.235713044;78.476
1980;IDN;Indonesia;121.9000015;0.122077071;2865.7;38.76;9.880077522;1231.195135;44500000.36;57.995;0;81.39229287;1.18367205;77.896
1981;IDN;Indonesia;156;0.11925408;3022.1;41.55;7.927156824;1298.06599;53310000.63;58.489;0;83.31901721;1.131631056;77.185
1982;IDN;Indonesia;177.8999939;0.116528817;3332.1;41.39;2.24644534;1296.895792;54130000.12;58.966;0;85.26760158;1.079590063;76.394
1983;IDN;Indonesia;189;0.113917384;3320.3;44.5;4.192967368;1320.9919;57210000.75;59.423;0;87.22226908;1.027549069;75.585
1984;IDN;Indonesia;169.8000031;0.111569011;3379.4;48.49;6.975527809;1382.393834;49950001.25;59.863;0.001083435;89.16207875;0.975508075;74.756
1985;IDN;Indonesia;153.1000061;0.118194389;3513.3;49.6;2.462143564;1386.732772;50190000.53;60.287;0.001229828;91.07152967;0.923467081;73.911
1986;IDN;Indonesia;222;0.119840151;3476.2;52.55;5.875045104;1438.627538;55419999.35;60.7;0.002691028;92.94384815;0.871426087;73.047
1987;IDN;Indonesia;340.2000122;0.123294463;3604.7;53.34;4.925927365;1480.2316;63729999.06;61.107;0.003681362;94.78119145;0.819385094;72.165
1988;IDN;Indonesia;455;0.120908042;3568.3;56.4;5.780498488;1536.505766;55370000.24;61.512;0.005148136;96.58801702;0.7673441;71.264
1989;IDN;Indonesia;438.2000122;0.117053473;3778.6;59.76;7.456586925;1621.121658;60510000.22;61.915;0.007254397;98.37276506;0.8;70.349
1990;IDN;Indonesia;458.6000061;0.111640043;3800.2;61.88;7.242131639;1707.818355;48609999.89;62.32;0.009975007;100.1415358;0.6262634;69.416
1991;IDN;Indonesia;475.5;0.097951209;3862.1;62.98;6.911982836;1794.422812;53610000.62;62.727;0.01328769;101.8960918;0.6262634;68.387
1992;IDN;Indonesia;504.1000061;0.096410039;3817.1;68.13;6.497506517;1878.973044;52300000.43;63.131;0.018933653;103.6337464;0.6262634;67.297
1993;IDN;Indonesia;615.5;0.094990246;3916.3;68.9;6.49640812;1968.416471;42979998.97;63.529;0.027999828;105.3512561;0.4851828;66.192
1994;IDN;Indonesia;733.7000122;0.088315925;3865.5;70.18;7.539971096;2083.362417;41299999.96;63.919;0.040235675;107.0438691;0.5;65.067
1995;IDN;Indonesia;782.5999756;0.088059843;3842.8;76.56;8.220007399;2220.07695;38909999.97;64.291;0.106961074;108.7091639;0.6;63.924
1996;IDN;Indonesia;749.4000244;0.089749324;3944.9;78;7.818187077;2358.119807;31509999.7;64.637;0.281397471;110.3469521;0.6;62.765
1997;IDN;Indonesia;710;0.091210985;4011.4;75.11;4.699878854;2433.340736;30300000.55;64.954;0.45170293;111.961694;0.6;61.594
1998;IDN;Indonesia;429.3999939;0.090898224;3816.9;75.11;-13.12672549;2084.142881;19959999.77;65.244;0.518080989;113.561492;1.1462677;60.407
1999;IDN;Indonesia;362;0.094432251;3895.7;75.39;0.791126082;2071.524683;19670000.48;65.513;1.064624884;115.1571118;1.3366824;59.208
2000;IDN;Indonesia;408.542;0.09692038;4026.4;78.08;4.920067747;2143.659504;13350000.27;65.772;1.734793002;116.7571902;1.5270971;57.998
2001;IDN;Indonesia;408.372;0.094204371;4044.9;80.48;3.643466447;2191.574177;35140000.33;66.037;3.041097585;118.3655155;1.7175118;57.217
2002;IDN;Indonesia;405.498;0.092386842;4169.5;85.79;4.499475391;2259.307704;25820000.77;66.321;5.382829775;119.9831047;1.9079265;56.432
2003;IDN;Indonesia;424.362;0.101702392;4248.1;91.86;4.780369122;2335.594045;27590000.29;66.631;8.395123044;121.6124516;2.0983412;55.644
2004;IDN;Indonesia;434.101;0.110468349;4274.5;95.72;5.030873945;2420.397182;21980000.38;66.969;13.5864546;123.2553398;2.2887559;54.851
2005;IDN;Indonesia;439.773;0.101401095;4311.3;98.01;5.692571304;2524.222424;32730000.32;67.334;20.73007286;124.9134563;2.4791706;54.058
2006;IDN;Indonesia;469.222;0.093756161;4365.8;106.27;5.500951785;2627.905245;94040000.27;67.717;27.82291059;126.5853718;2.6695853;53.262
2007;IDN;Indonesia;484.52;0.094674864;4464.8;108.82;6.345022227;2757.89367;29360000.03;68.105;40.18813746;128.272297;2.86;52.465
2008;IDN;Indonesia;394.583;0.096403036;4694.3;113.84;6.0137036;2885.309275;21590000.39;68.485;59.70118703;129.9810452;2.71;51.665
2009;IDN;Indonesia;276.918;0.098901787;4812.7;121.03;4.628871183;2979.004714;19430000.31;68.853;68.59298249;131.7203106;3.27;50.866
2010;IDN;Indonesia;665.6636285;0.097587515;4877.6;123.78;6.223854181;3122.362815;28319999.72;69.205;87.36986824;133.4942702;2.55;50.086
2011;IDN;Indonesia;754.2979384;0.095872894;4886.3;126.36;6.169784208;3270.61949;62319999;69.542;101.9132298;135.3059534;2.86;49.405
2012;IDN;Indonesia;880.340264;0.094585517;5082;136.08;6.030050653;3421.27352;31751638.74;69.866;113.4883118;137.1475643;3.05;48.724
2013;IDN;Indonesia;768.23502;0.093325665;5085.4;137.21;5.557263689;3563.299864;39276120.96;70.179;124.392499;138.9989909;3.05;48.045
2014;IDN;Indonesia;902.1164864;0.092110264;5095.5;140.39;5.006668426;3692.973446;30247973.53;70.481;127.6154409;140.8330917;3.005216338;47.365
2015;IDN;Indonesia;758.7051634;0.090950166;5306.6;143.84;4.8763223;3824.274885;31484376.31;70.768;131.1804585;142.6294628;3.268451507;46.687
2016;IDN;Indonesia;974.556289;0.089847526;5251.7;144.56;5.033069183;3968.055911;32793158.17;71.035;147.4150225;144.3798617;3.268451507;46.011
2017;IDN;Indonesia;1052.36048;0.091599716;5166.3;141.6822488;5.067406366;4120.428561;24704483.16;71.282;164.44059;146.0864808;3.268451507;45.341
2018;IDN;Indonesia;1131.913455;0.090719533;5236.529092;143.4763136;5.171270328;4284.652535;16182811.44;70.88330381;119.3387219;147.7521901;3.229782295;44.675
2019;IDN;Indonesia;;0.090213122;5221.513802;144.2267162;5.042474941;4040.663726;0;71.08512857;147.3212342;145.1433423;3.263030698;45.70750878
1960;IND;India;;0.338972383;947.3;32.12;3.722742533;330.2053201;0;41.422;0;154.5956246;2.4661305;82.076
1961;IND;India;;0.338972383;947.3;32.12;3.722742533;335.7213437;0;42.027;0;154.5956246;2.4661305;81.968
1962;IND;India;;0.334060158;929.7;31.68;2.931127737;338.6111311;0;42.637;0;157.7689922;2.4661305;81.782
1963;IND;India;;0.328867123;965.8;32.4;5.994353261;351.6016511;0;43.252;0;161.0477662;2.4661305;81.595
1964;IND;India;;0.322660533;993.6;33.23;7.452950122;370.0604355;0;43.873;0;164.4187338;2.4661305;81.405
1965;IND;India;;0.316987791;854.4;31.67;-2.63577011;352.8890531;0;44.5;0;167.8746814;2.4661305;81.215
1966;IND;India;;0.311185631;864.2;31.63;-0.05532877;345.4215522;0;45.136;0;171.4089917;2.4661305;81.023
1967;IND;India;;0.307032712;993.7;33.55;7.82596303;364.7466166;0;45.779;0;175.0310528;2.4661305;80.829
1968;IND;India;;0.301156796;1036.6;35.4;3.387929176;369.2192305;13310000.42;46.428;0;178.7688725;2.4661305;80.634
1969;IND;India;;0.29456935;1053.7;36.62;6.539700296;384.9843464;6040000.26;47.081;0;182.6604879;2.4661305;80.438
1970;IND;India;96.30000305;0.289198401;1134.8;38.52;5.157229736;396.0116955;22290000.14;47.737;0;186.7320259;2.4661305;80.24
1971;IND;India;108.4000015;0.281325933;1136.1;38.96;1.642930384;393.5312742;28160000.14;48.398;0;190.9962088;2.2;80.009
1972;IND;India;131.1000061;0.275666001;1107.8;37.34;-0.553301312;382.450895;36310000.06;49.061;0;195.4423552;2.4;79.679
1973;IND;India;176.5;0.27076679;1152.8;40.31;3.295521135;385.966286;39910000.07;49.722;0;200.0444418;2.4;79.347
1974;IND;India;144.6999969;0.265276462;1074.5;39.04;1.18533626;381.5395861;47189999.32;50.374;0;204.7641086;2.5610908;79.009
1975;IND;India;211.3000031;0.259729173;1260.8;43.38;9.149912015;406.8925351;111290000.3;51.012;0;209.5738574;2.2;78.668
1976;IND;India;250.6999969;0.254155196;1198.7;42.99;1.663103637;404.2351321;50460000.04;51.63;0;214.4599191;2.4;78.323
1977;IND;India;275.8999939;0.248401012;1331.1;46.53;7.254764586;423.7401893;78849998.96;52.222;0;219.4305699;2.5;77.974
1978;IND;India;297.7000122;0.24455288;1370.2;48;5.712532089;437.8191791;88059999.94;52.786;0;224.5062731;2.5;77.621
1979;IND;India;297.6000061;0.239304703;1222.3;45.78;-5.238182703;405.4726426;96549997.57;53.319;0;229.7180315;2.6;77.264
1980;IND;India;366;0.23299712;1350;47.65;6.735821528;422.9038392;110960001.6;53.814;0;235.085159;2.6;76.902
1981;IND;India;411.3999939;0.227726331;1398.8;51.02;6.006203624;438.0069081;106849999.3;54.268;0;240.611933;2.6;76.583
1982;IND;India;409.8999939;0.222940717;1346.4;50.71;3.47573324;442.798502;106240000.8;54.686;0;246.2807638;3.0510585;76.353
1983;IND;India;461.6000061;0.217141329;1564.4;56.79;7.288892901;464.1769727;117949999.6;55.074;0;252.062249;3.1534367;76.121
1984;IND;India;545.5;0.213368377;1563.8;57.86;3.820737856;470.9742322;116420000.2;55.441;0;257.9160464;2.7;75.887
1985;IND;India;489.7000122;0.208501196;1592.2;59.1;5.254299223;484.6437037;135039998.8;55.801;0;263.8109263;2.9;75.652
1986;IND;India;539.7000122;0.20375816;1585.4;60.08;4.77656417;496.6394426;137140000.3;56.169;0;269.7356186;3;75.415
1987;IND;India;645.2000122;0.199107678;1583.7;59.54;3.965355634;505.1790844;145929999.4;56.553;0;275.691127;2.9;75.177
1988;IND;India;646.2999878;0.194476469;1775.8;65.24;9.62778292;542.054234;170460000.5;56.963;0;281.6735325;2.7;74.937
1989;IND;India;680.5999756;0.191125187;1916.4;68.93;5.947343328;562.2965719;166240001.4;57.4;0;287.6824818;3.3;74.695
1990;IND;India;662.9000244;0.187178697;1891.2;70.13;5.533454563;581.2182623;188440001;57.865;0;293.7174543;3.5;74.453
1991;IND;India;493.1000061;0.18308864;1926.3;71.13;1.056831433;575.5015472;132060000.2;58.353;0;299.7700144;3.4;74.222
1992;IND;India;429.3999939;0.178934064;2024.8;74.12;5.482396022;595.0134623;140769998.9;58.851;0;305.8354885;3.3;74.016
1993;IND;India;372.3999939;0.175313051;2084.9;76.9;4.75077622;611.1188567;135250001.9;59.349;0;311.9221644;3.2;73.809
1994;IND;India;563.5999756;0.171874667;2115.5;79.03;6.658924067;639.268754;144929999.8;59.84;0;318.0428533;3.1;73.601
